"Nome","Denominação","Pastor","Endereço","Bairro","Cidade","Estado","Telefone","Email","Latitude","Longitude","Observações","Cadastrado em","Cadastrado por"
"I assembleia de Deus madureira ","Pentecostal ","","Rua Santa Catarina , 523","Cidade Brasil ","Guarulhos ","SP","","","-23.4538","-46.5333","","23/04/2026","Auto:Silvio - Zona 278"
"Q igreja presbiteriana independente guarulhos ","Evangélica ","","Rua Alegre , 523","Vila São Rafael ","Guarulhos ","SP","","","-23.4538","-46.5333","","23/04/2026","Auto:Silvio - Zona 278"
"Q igreja presbiteriana independente guarulhos ","Evangélica ","","Rua Alegre , 523","Vila São Rafael ","Guarulhos ","SP","","","-23.4538","-46.5333","","23/04/2026","Auto:Silvio - Zona 278"
"Assembleia de Deus ministério do Belém ","Assembleia ","Samuel ","Rua Petrônio portela Nunes , 49","Inocoop ","Guarulhos ","SP","11988721774","","-23.4538","-46.5333","","17/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Clóvis ","Rua Luciara , 83","Jardim São Manoel ","Guarulhos ","SP","11944282913","","-23.4538","-46.5333","","17/04/2026","Auto:Paulo / Belem"
"I C C missão Resgate","Evangélica ","","Rua alegre , 499","Vila São Rafael ","Guarulhos ","SP","","","-23.4538","-46.5333","","17/04/2026","Auto:Silvio - Zona 278"
"I P Deus e amor","Evangélica ","","Rua freire de Andrade , 684","Vila Galvão ","Guarulhos ","SP","","","-23.4538","-46.5333","","17/04/2026","Auto:Silvio - Zona 278"
"I E P Unidos em Cristo ","Evangélica ","","Rua Pedro Álvares cabral, 712","Vila Galvão ","Guarulhos ","SP","","","-23.4538","-46.5333","","17/04/2026","Auto:Silvio - Zona 278"
"I metodista","Metodista ","","Independencia, 71","Vila Renata ","Guarulhos ","SP","","","-23.4538","-46.5333","","17/04/2026","Auto:Silvio - Zona 278"
"I Makarios church","Evangélica ","","Rua treze de maio , 569","Vila Galvão ","Guarulhos ","SP","","","-23.4538","-46.5333","","17/04/2026","Auto:Silvio - Zona 278"
"Assembleia de Deus Belém ","Assembleia ","","Av Tomé de souza, 41","Vila Galvão ","Guarulhos ","SP","","","-23.4538","-46.5333","","17/04/2026","Auto:Silvio - Zona 278"
"Primeira igreja renovada batista de guarulhos ","Batista ","","Alameda tutoia , 363","Gopoúva ","Guarulhos ","SP","","","-23.4538","-46.5333","","17/04/2026","Auto:Silvio - Zona 278"
"Ministério da fé ","Assembleia ","","Rua Otacílio malheiros , 96","Jd dourado ","Guarulhos ","SP","","","-23.4538","-46.5333","","17/04/2026","Auto:Silvio - Zona 278"
"Igreja do reino","Evangélica ","","Rua Otacílio malheiros , 54","Jd dourado","Guarulhos ","SP","11989574237","","-23.4538","-46.5333","","17/04/2026","Auto:Silvio - Zona 278"
"Cristo e Rei","Evangélica ","","Al amelia , 139","Gopoúva ","Guarulhos ","SP","","","-23.4538","-46.5333","","17/04/2026","Auto:Silvio - Zona 278"
" O Brasil para Cristo ","Evangélica ","Paulino","Rua Vicente melo , 995","Vila Galvão ","Guarulhos ","SP","","","-23.4538","-46.5333","","17/04/2026","Auto:Silvio - Zona 278"
"Igreja Adoradores de Cristo","Evangélica","Milton Gomes","Avenida Guapira, 35","Tucuruvi","São Paulo","SP","11959873952","miltongomespastor@gmail.com","-23.4538","-46.5333","","17/04/2026","Auto:Pr. Bernard - Zona 176"
"Somos Um","Própria ","Pr. Washigton","Alameda Amélia, 202","Jardim Gopoúva","Guarulhos","SP","11989238626","","-23.4538","-46.5333","","17/04/2026","Auto:Pr. Bernard - Zona 176"
"Assembleia de Deus ministério do Belém ","Assembleia ","Humberto ","Rua Waldemar de Paula Ferreira , 405","Presidente Dutra ","Guarulhos ","SP","1154423602","","-23.4538","-46.5333","","17/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","José Luiz ","Rua Itajuíbe , 405","Maria Dirce ","Guarulhos ","SP","11948687760","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Jurandir ","Av Cannes , 372","Água azul ","Guarulhos ","SP","1198339244","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Diego ","Rua Rodolfo turriano , 121","Bambi ","Guarulhos ","SP","11933107055","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Francisco da Dantas ","Rua senhor do Bonfim , 104","Bonsucesso ","Guarulhos ","SP","1198079692","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Gildásio ","Rua Araçatuba , 408","Soberana ","Guarulhos ","SP","11979761161","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Gilberto ","Rua rio negro , 109","Soberana ","Guarulhos ","SP","11968729268","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Antônio Cleiton ","Rua barra dos Mendes , 283","Lavras ","Guarulhos ","SP","11971101976","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Alexandro ","Rua Eliane Mendes Ferreira , 135","Santa Paula ","Guarulhos ","SP","11985138800","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Enoque ","Rua dezenove de maio , 233","Anitta Garibaldi ","Guarulhos ","SP","11995557833","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Paulo Sérgio ","Av Luiz Gonzaga do nascimento , 874","Jardim Ponte Alta 2 ","Guarulhos","São Paulo","11970309483","prpaulosergiofranca@gmail.com","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Daniel ","Rua Orlando Ramos , 330","Guarulhos ","","SP","11982022700","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","João Galvão ","Rua prados , 233","Guarulhos ","","SP","11952562292","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Elías ","Rua Ijaci , 103","Nova Bonsucesso 1","Guarulhos ","SP","11980161474","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Fabio Nunes ","Rua Oscar sherer , 85","Vila Carmela ","","SP ","11957117049","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Fabio Nunes ","Rua Oscar sherer , 85","Vila Carmela ","","SP ","11957117049","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"Assembleia de Deus ministério do Belém ","Assembleia ","Gesrael ","Rua José de Souza Abrantes , 356","Jardim álamo ","Guarulhos ","SP","1198514789","","-23.4538","-46.5333","","16/04/2026","Auto:Paulo / Belem"
"IE Pentecostal unidos em Cristo ","Evangélica ","Pastor paulo","Rua Sérgio Rabelo 2, 279","Jd São Judas Tadeu ","Guarulhos ","SP","1194183 1968","","-23.4538","-46.5333","","15/04/2026","Auto:Silvio - Zona 278"
"IE Pentecostal brasa viva ","Evangélica ","Pastor Israel","Otacílio malheiros, 88","Gopouva","Guarulhos ","SP","11 96794 7895","","-23.4538","-46.5333","","15/04/2026","Auto:Silvio - Zona 278"
"I E Pentecostal  eu sou a luz do mundo ","Cristã "," Pastor Adilson","Rua Isa , 130","Jd aliança ","Guarulhos ","SP","1195433 7284","","-23.4538","-46.5333","","15/04/2026","Auto:Silvio - Zona 278"
"Igreja Imersão ","Independente","Pr. Marcos","Avenida Avelino Alves Machado, 467","Jardim Pinhal","Guarulhos","SP","11 97647 0757","","-23.4538","-46.5333","","14/04/2026","Auto:Guti - Visitas"
"Igreja Poder da Palavra","Independente","Pastor Richard","Rua Raimundo Palma, 367","Parque Continental I","Guarulhos","SP","11 97546 9531","","-23.4538","-46.5333","","14/04/2026","Auto:Guti - Visitas"
"Projeto Gileade","Independente","Pr. Jackson","Avenida Sapopemba, 2516","Vila Regente Feijó","São Paulo","SP","11 98344 9621","","-23.4538","-46.5333","","14/04/2026","Auto:Guti - Visitas"
"Adbras soberana ","Evangélica ","Marcelo Xavier ","Av.monte alegre, 1006","Soberana ","Guarulhos ","SP","","","-23.4538","-46.5333","","13/04/2026","Auto:Samuel - Zona 394"
"Adbras soberana ","Evangélica ","Marcelo Xavier ","Av.monte alegre, 1006","Soberana ","Guarulhos ","SP","","","-23.4538","-46.5333","","13/04/2026","Auto:Samuel - Zona 394"
"Ministério Adoradores De Cristo","Evangélica","Pr. Bernard Gomes","Rua Antônio Gomes, 30","Vila Santo Antônio","Guarulhos","SP","11910361424","pastorbernardogomes@gmail.com","-23.4607077","-46.5376023","","10/04/2026","Auto:Pr. Bernard - Zona 176"
"Igreja Poder Gloria e Milagre","Igreja Poder Gloria e Milagre","Pastor Wagner","Rua Trinta e dois A, 97","Jardim Valeria","Guarulhos","SP","","","-23.4220034","-46.5332729","","08/04/2026","Importação PDF"
"Igreja Assembleia Reino de Deus","Igreja Assembleia Reino de Deus","Pastor Davi","Av. Rosa Molina Pannocchia 420","","Guarulhos","SP","","","-23.4675941","-46.5277704","","08/04/2026","Importação PDF"
"Assembleia de Deus Ministério da Fé em Ação","Assembleia de Deus Ministério da Fé em Ação","Pastor Jose Vital","Rua Antônio Alecrim,136","Jardim das Rosas","São Paulo","SP","","","-23.4538","-46.5333","","08/04/2026","Importação PDF"
"Igreja adventista do sétimo dia ","Adventista ","Daniel ","Rua Ananias José de Vasconcelos , 66","Gopoúva","Guarulhos ","SP","","","-23.4538","-46.5333","","08/04/2026","Auto:Silvio - Zona 278"
"Assembléia de Deus ministério cubatão ","Assembléia de Deus ","Tiago ","Francisco Inácio brum do canto , 20 A","Itatinga","São Sebastião","SP","12981781204","tiagosantana77509@gmail.com","-23.4538","-46.5333","","06/04/2026","Auto:Cubatão Dr. Daniel"
"AD Cubatão ","Assembleia ","PR Flavio ","Padre Manoel de Nobrega, 485","Putim","Registro","SP","13 974101296","flaviotarso20@gmail.com","-23.4538","-46.5333","","04/04/2026","Auto:Cubatão Dr. Daniel"
"Igreja Adventista ","Adventista do Sétimo dia ","Sandro Pinheiro ","Rua Soldado Hercílio Gonçalves, 147","Jardim Dourado","Guarulhos","SP","11996751721","sandroadvir@gmail.com","-23.4591984","-46.5402365","","30/03/2026","Auto:Adventista/ D & G"
"Igreja Paz e Vida - Jaçanã","Igreja","","Av. Guapira, 2324","Jaçanã","São Paulo","SP","(11) 4508-9708","","-23.4666616","-46.583928","","26/03/2026","Importação PDF"
"Igreja Deus é Amor","Igreja Pentecostal","","R. Benjamin Pereira, 603","Jaçanã","São Paulo","SP","","","-23.4665098","-46.5850603","","26/03/2026","Importação PDF"
"Igreja Evangélica ""Os Cordeios De Cristo""","Instituição religiosa","","R. Bom Jesus da Cachoeira, 157","Jaçanã","São Paulo","SP","","","-23.4733884","-46.5680317","","26/03/2026","Importação PDF"
"Igreja Metodista Wesleyana","Igreja Pentecostal","","Rua Thomaz Cyro Pozzi, 48","Jaçanã","São Paulo","SP","(11) 2240-6185","","-23.4622676","-46.5730366","","26/03/2026","Importação PDF"
"Igreja Adventista do Sétimo Dia de Jaçanã","Igreja Adventista do Sétimo Dia","","Av. Paulo Lincoln do Valle Pontin, 68","Jaçanã","São Paulo","SP","","","-23.4642725","-46.5847028","","26/03/2026","Importação PDF"
"Igreja Evangélica Apostólica Novo Tempo","Instituição religiosa","","R. Benjamin Pereira, 35","Jaçanã","São Paulo","SP","","","-23.4629935","-46.582443","","26/03/2026","Importação PDF"
"Igreja Evangélica Pentecostal Betânia","Igreja evangélica","","R. Irmã Emerenciana, 91","Jaçanã","São Paulo","SP","(11) 96351-5030","","-23.4700011","-46.5795668","","26/03/2026","Importação PDF"
"IEAB Jaçanã","Igreja","","Av. Henri Janor, 184","Jaçanã","São Paulo","SP","(11) 2243-3445","","-23.4697491","-46.5891245","","26/03/2026","Importação PDF"
"INFLU CHURCH","Igreja","","R. Lopes da Costa, 1340","Jaçanã","São Paulo","SP","(11) 98358-8331","","-23.4592539","-46.5721125","","26/03/2026","Importação PDF"
"Congregação Cristã no Brasil - Jaçanã","Igreja cristã","","R. José Buono, 65","Jaçanã","São Paulo","SP","(11) 2241-5079","","-23.4636552","-46.5859501","","26/03/2026","Importação PDF"
"Igreja Missionária Evangélica Betel Brasileiro","Templo","","R. Apuana, 49","Jaçanã","São Paulo","SP","(11) 2243-5090","","-23.4523957","-46.5882325","","26/03/2026","Importação PDF"
"Igreja Batista do Jaçanã","Igreja","","R. José Figliolini, 383","Jaçanã","São Paulo","SP","(11) 2241-6977","","-23.4601843","-46.5774008","","26/03/2026","Importação PDF"
"Igreja Evangelica Pentecostal Atos do Espírito Santo","Igreja","","Av. Jaçanã, 285","Jaçanã","São Paulo","SP","","","-23.4703145","-46.5726383","","26/03/2026","Importação PDF"
"Igreja Universal do Reino de Deus","Igreja","","R. Benjamin Pereira, 602","Jaçanã","São Paulo","SP","(11) 2790-1177","","-23.4665098","-46.5850603","","26/03/2026","Importação PDF"
"Igreja Evangélica Avivamento para as Nações","Igreja","","R. Aquiles, 165","Jaçanã","São Paulo","SP","","","-23.4665098","-46.5935253","","26/03/2026","Importação PDF"
"Igreja do Deus Vivo Primitiva Independente Idvpi","Igreja evangélica","","Av. Luís Stamatis, 356","Jaçanã","São Paulo","SP","(11) 2242-8414","","-23.4682776","-46.5817117","","26/03/2026","Importação PDF"
"Videira - Jaçanã","Igreja gospel","","R. Flor de Ouro, 201","Jaçanã","São Paulo","SP","(11) 96393-9148","","-23.4532791","-46.5727265","","26/03/2026","Importação PDF"
"Assembleia De Deus, Ministerio Belem, Setor 04, Congregação do bairro Jaçanã","Igreja","","Av. Jaçanã, 334A","Jaçanã","São Paulo","SP","","","-23.4667635","-46.5888088","Setor 04","26/03/2026","Importação PDF"
"Igreja Universal - Jaçana","Igreja","","Av. Guapira, 2440","Jaçanã","São Paulo","SP","","","-23.4685003","-46.5841958","","26/03/2026","Importação PDF"
"Ministerio Evangélica Deus É Deus","Instituição religiosa","","R. Paquita, 831","Recreio São Jorge","Guarulhos","SP","","","-23.404548","-46.5216892","","26/03/2026","Importação PDF"
"Igreja evangélica pentecostal Há Vida Nova em Cristo","Templo","","R. Natalina, 72","Recreio São Jorge","Guarulhos","SP","","","-23.4050232","-46.5223206","","26/03/2026","Importação PDF"
"IGREJA EVANGÉLICA TEMPLO DO AVIVAMENTO","Igreja","Pr. Pres. Silvério Rodrigues","R. Sami, 134","Recreio São Jorge","Guarulhos","SP","(81) 98911-4676","","-23.4038157","-46.5203346","Pr. Pres. Silvério Rodrigues","26/03/2026","Importação PDF"
"Igreja Universal","Igreja","","Av. Palmira Rossi, 962","Recreio São Jorge","Guarulhos","SP","(11) 2790-1177","","-23.4039379","-46.5176844","Aberto · Fecha 21:00","26/03/2026","Importação PDF"
"Congregação Cristã no Brasil - Recreio São Jorge","Igreja cristã","","Av. Palmira Rossi, 14","Recreio São Jorge","Guarulhos","SP","","","-23.4039379","-46.5176844","","26/03/2026","Importação PDF"
"IEP Atalaia de Cristo Jesus","Igreja evangélica","","R. Paquita, 654","Recreio São Jorge","Guarulhos","SP","(11) 98682-2853","","-23.4021595","-46.5215969","Abre sáb. às 19:00","26/03/2026","Importação PDF"
"Igreja pentecostal plenitude da fé em Jesus Cristo","Igreja","","R. Chico Mendes, 23","Recreio São Jorge","Guarulhos","SP","","","-23.3969909","-46.5207528","Abre às 19:00","26/03/2026","Importação PDF"
"Igreja Casa da Benção de Guarulhos","Igreja evangélica","","R. Paraguaçú, 475","Recreio São Jorge","Guarulhos","SP","(11) 96594-8010","","-23.4027185","-46.5227355","","26/03/2026","Importação PDF"
"AD TABOÃO RECREIO 1","Igreja Assembleia de Deus","","Av. Palmira Rossi, 1186","Recreio São Jorge","Guarulhos","SP","(11) 96738-1435","","-23.4039379","-46.5176844","Abre às 19:30","26/03/2026","Importação PDF"
"Igreja Pentecostal Fé Genuina","Instituição religiosa","","R. Silvestre, 79","Recreio São Jorge","Guarulhos","SP","","","-23.3974038","-46.5202038","Abre sáb. às 19:30","26/03/2026","Importação PDF"
"IGREJA EVANGÉLICA MINISTÉRIO PESCADORES DE ALMAS","Instituição religiosa","","R. Santana Montes, 58","Recreio São Jorge","Guarulhos","SP","","","-23.4017886","-46.5101576","","26/03/2026","Importação PDF"
"IADM Catedral da Fé Cristã - NR","Igreja","","Av. Palmira Rossi, 3405","Novo Recreio","Guarulhos","SP","(11) 2996-3115","","-23.4039379","-46.5176844","Abre às 19:30","26/03/2026","Importação PDF"
"Ministerio União Pentecostal Novo Recreio","Igreja evangélica","","Av. Palmira Rossi, 3220","Novo Recreio","Guarulhos","SP","","","-23.4018419","-46.5141232","Amo congregar aqui","26/03/2026","Importação PDF"
"IGREJA BATISTA VIDA E LUZ","Igreja Batista","","R. Felipe Marcondes Rúbio, 340","Recreio São Jorge","Guarulhos","SP","","","-23.3987584","-46.5221331","","26/03/2026","Importação PDF"
"Igreja Esperança De Vida","Igreja","","R. Amazonas","Recreio São Jorge","Guarulhos","SP","(11) 99197-0994","","-23.3983758","-46.5208513","Lugar de Deus; Abre sex. às 19:30","26/03/2026","Importação PDF"
"Igreja Evangélica De Volta A Casa Do Pai","Instituição religiosa","","Av. Palmira Rossi, 396","Recreio São Jorge","Guarulhos","SP","","","-23.4039379","-46.5176844","","26/03/2026","Importação PDF"
"IGREJA BATISTA BOAS NOVAS","Igreja Batista","","R. Paquita, 183","Recreio São Jorge","Guarulhos","SP","(11) 2347-9141","","-23.4021595","-46.5215969","Pura palavra de Deus; Abre às 19:30","26/03/2026","Importação PDF"
"Igreja Evangelica Petecostal Cristo e Luz.","Igreja","","R. Célso Dias Ferreira, 35","","Guarulhos","SP","","","-23.4056076","-46.430741","","26/03/2026","Importação PDF"
"Igreja Evangélica Sinos de Belém União Cristã Religiosas","Templo","","R. Leila Acrás, 178","","Guarulhos","SP","(11) 2440-7653","","-23.4575975","-46.5224878","","26/03/2026","Importação PDF"
"Igreja Evangélica Unidos Jesus Breve Vem!","Instituição religiosa","","R. Santarém Novo, 35","","Guarulhos","SP","","","-23.4008235","-46.4362887","","26/03/2026","Importação PDF"
"Igreja Amando e Servindo as Nações","Igreja evangélica","","R. Jorge Felipe Haddad, 631","","Guarulhos","SP","(11) 2409-8538","","-23.4675941","-46.5277704","Abre dom. às 18:00","26/03/2026","Importação PDF"
"Ministério Deus é Vida","Igreja evangélica","","Av. Tiradentes, 1462","","Guarulhos","SP","","","-23.464572","-46.5290337","Cultos: quinta às 19h e domingo às 9h.","26/03/2026","Importação PDF"
"Iec Betel Guarulhos","Igreja evangélica","","R. Haroldo Lôbo, 318","","Guarulhos","SP","","","-23.4596629","-46.5232308","Cultos maravilhosos e necessários e pessoas mais ainda.","26/03/2026","Importação PDF"
"Igreja Evangélica Congregacional Vale Da Bênção Guarulhos SP","Igreja evangélica","","R. Airton Sena, 34","","Guarulhos","SP","(11) 2492-9548","","-23.4675941","-46.5277704","Abre às 19:30","26/03/2026","Importação PDF"
"Igreja Evangélica Missão Ebenezer","Igreja gospel","","R. Ribeirão Claro, 228","","Guarulhos","SP","(11) 4963-6145","","-23.4593467","-46.5062419","Ótima experiência Lugar de adoração a Deus e tbm muito família","26/03/2026","Importação PDF"
"Assembleia de Deus ministério leste","Igreja Assembleia de Deus","","Av. Aracati, 400","","Guarulhos","SP","","","-23.4046558","-46.4537523","Fechado · Abre sex. às 19:30","26/03/2026","Importação PDF"
"IBRJPD","Igreja Batista","","Av. Papa João Paulo I, 3810","","Guarulhos","SP","","","-23.4258611","-46.4312597","Igreja abençoada 🤲🏻👏🏻🙌🏻","26/03/2026","Importação PDF"
"IGREJA EVANGELICA ASSEMBLÉIA DE DEUS MINISTERIO CRISTO LIBERTADOR","Instituição religiosa","","R. Belém, 151","","Guarulhos","SP","","","-23.4140082","-46.4517915","","26/03/2026","Importação PDF"
"Igreja Evangelica Tempo De Renovacāo Agape","Instituição religiosa","","R. Estados Unidos, 368","","Guarulhos","SP","","","-23.4027278","-46.4413979","","26/03/2026","Importação PDF"
"Igreja Evangélica Assembléia De Deus Filhos Da Promessa","Instituição religiosa","","R. Jaboticabal, 57","","Guarulhos","SP","","","-23.401936","-46.4379011","CEP/Ref: 164878707","26/03/2026","Importação PDF"
"Ministério Verbo Vivo - Soberana","Igreja evangélica","","Avenida Monte Alegre, 213","Cidade Soberana","Guarulhos","SP","(11) 2441-0004","","-23.4009231","-46.4436165","Lugar maravilhoso cheio da presença de Deus, pessoas de Deus.","26/03/2026","Importação PDF"
"Igreja Presbiteriana do Jardim Girassol","Igreja Presbiteriana","","R. Alto dos Rodrigues, 385","Jardim Girassol","Guarulhos","SP","(11) 96700-5973","","-23.4100934","-46.4485424","Uma igreja boa e bíblica Frequente essa igreja","26/03/2026","Importação PDF"
"Igreja Evangélica Batista Leão de Judá","Igreja evangélica","","R. João de Souza, 424","","Guarulhos","SP","","","-23.4444031","-46.5136931","","26/03/2026","Importação PDF"
"Comunidade Cristã em Guarulhos","Templo","","R. Cabo Osvaldo José de Oliveira, 48","","Guarulhos","SP","(11) 2422-4521","","-23.4522385","-46.534356","Aberto · Fecha 17:00","26/03/2026","Importação PDF"
"Igreja Evangélica Pentecostal Boas Novas","Instituição religiosa","","Av. Monte Alegre","","Guarulhos","SP","","","-23.4009231","-46.4436165","","26/03/2026","Importação PDF"
"Assembleia de Deus Madureira","Igreja evangélica","","R. São Paulo do Potengi, 390","","Guarulhos","SP","","","-23.4675941","-46.5277704","Local excelente para adorar a Deus.","26/03/2026","Importação PDF"
"Igreja Evangélica Pentecostal Visão De Jerusalém","Instituição religiosa","","Av.Brigadeiro Faria Lima, 1150","","Guarulhos","SP","","","-23.4451406","-46.521231","","26/03/2026","Importação PDF"
"Igreja Evangélica Assembleia de Deus te chama","Igreja gospel","","R. Prata, 27","","Guarulhos","SP","","","-23.4036258","-46.4421567","","26/03/2026","Importação PDF"
"Igreja Evangelica Assembleia de Deus - Nova Dimens","Igreja","","Av. Papa João XXIII, 79","","Guarulhos","SP","","","-23.4541442","-46.5331476","","26/03/2026","Importação PDF"
"AD Brás Guarulhos - SEDE","Igreja Assembleia de Deus","","R. Sílvio Barbosa, 462","","Guarulhos","SP","","","-23.4653455","-46.5215786","","26/03/2026","Importação PDF"
"Assembleia de Deus - Paz no Vale - Soberana","Igreja evangélica","","R. Ribeirão Preto, 371","Soberana","Guarulhos","SP","(11) 99107-8596","","-23.3969702","-46.438216","Igreja doutrinada com a paz do senhor Jesus Cristo!","26/03/2026","Importação PDF"
"Igreja pentecostal missão em Cristo","Igreja Pentecostal","","R. das Gameleiras","","Guarulhos","SP","","","-23.4102613","-46.4544872","Fechado · Abre às 19:30","26/03/2026","Importação PDF"
"Igreja Evangelica Pentecostal Coluna de Fogo","Igreja","","R. Cambuci, 10","","Guarulhos","SP","","","-23.3908859","-46.4333402","","26/03/2026","Importação PDF"
"Igreja Evangélica Mensagem Plena","Igreja Evangélica Mensagem Plena","","Av. Aracati, 579","","Guarulhos","SP","(11) 2432-2423","","-23.4046558","-46.4537523","Abre às 19:30","26/03/2026","Importação PDF"
"IGREJA EVANGELICA NOSSO TEMPLO É DO SENHOR","IGREJA EVANGELICA","","R. Rio Negro, 791","","Guarulhos","SP","","","-23.3927222","-46.4388527","","26/03/2026","Importação PDF"
"Igreja Evangélica Pentecostal Monte Sina Soberana","Igreja Evangélica Pentecostal","","Viela Ligúria, 22","Jardim Lenize","Guarulhos","SP","","","-23.4072370869256","-46.450661164418","","26/03/2026","Importação PDF"
"Igreja Evangelica Ass de Deus em S Paulo","Igreja Evangelica Ass de Deus em S Paulo","","R. Jorge García de Medeiros, 34","","Guarulhos","SP","","","-23.4098053","-46.4480892","","26/03/2026","Importação PDF"
"Ministério Tsidkenu","Igreja evangélica","","R. Taubaté","","Guarulhos","SP","","","-23.4005793","-46.4402781","Abre sáb. às 19:00","26/03/2026","Importação PDF"
"AD Belém Guarulhos - Cidade Soberana","Igreja Assembleia de Deus (Belém)","","R. Rio Negro, 109","Cidade Soberana","Guarulhos","SP","","","-23.3927222","-46.4388527","","26/03/2026","Importação PDF"
"Ministério Caminho da Santidade","Igreja evangélica","","Av. José Ozildo Baltieri, 311","","Guarulhos","SP","","","-23.4112569","-46.4556677","Abre às 19:30","26/03/2026","Importação PDF"
"Igreja Bola de Neve - Vila São João","Igreja Bola de Neve","","R. Stella Maris, 233","Vila São João","Guarulhos","SP","(11) 2086-8648","","-23.4264085","-46.5146755","","26/03/2026","Importação PDF"
"Assembleia de Deus Ipiranga - Guarulhos","Igreja Assembleia de Deus (Ipiranga)","","R. São João da Boa Vista, 428","","Guarulhos","SP","","","-23.4461869","-46.4608189","Abre às 19:30","26/03/2026","Importação PDF"
"Igreja Evangélica Pentecostal Ministério Unção De Alegria","Igreja Evangélica Pentecostal","","R. Severiano Melo, 27","","Guarulhos","SP","","","-23.407029","-46.4532794","","26/03/2026","Importação PDF"
"Igreja Evangélica Pentecostal Excelência do Amor de Jesus Cristo","Igreja gospel","","R. Ouro Preto, 412","","Guarulhos","SP","","","-23.4038737","-46.4430616","","26/03/2026","Importação PDF"
"AD Belém Guarulhos - Jardim Cristina","Igreja Assembleia de Deus (Belém)","","R. Jefe, 157","Jardim Cristina","Guarulhos","SP","","","-23.4111498","-46.4499124","","26/03/2026","Importação PDF"
"Igreja Evangélica Manancial da Paz","Igreja gospel","","R. Ouro Preto, 96","","Guarulhos","SP","","","-23.4080843","-46.4450151","","26/03/2026","Importação PDF"
"Igreja evangélica jesus voltará ","Independente ","","Rua Zeferino Alves de Oliveira, 90","Ponte Alta","Guarulhos","SP","11970309483","prpaulosergiofranca@gmail.com","-23.4041918","-46.4170458","","25/03/2026","Auto:Paulo / Belem"
"Igreja Evangelica Pentecostal Cristo e Salvação","Igreja Evangelica Pentecostal","","R. Carnaubais, 39","","Guarulhos","SP","(19) 98250-6976","","-23.4095222","-46.4475983","Avaliação 5,0(2)","24/03/2026","Importação PDF"
"M.G.A.L.A.C Jardim São João","Igreja Pentecostal","","Av. Sagres, 570","Jardim São João","Guarulhos","SP","","","-23.4082959","-46.4569405","Fechado · Abre às 19:30","24/03/2026","Importação PDF"
"Assembléia Vasos De Deus","Igreja Assembleia de Deus","","R. São Bento Trairí, 107","","Guarulhos","SP","","","-23.4072477","-46.4573454","Avaliação 4,3(4)","24/03/2026","Importação PDF"
"Igreja Evangélica de Jesus Cristo Nova Aliança","Igreja gospel","","R. Ouro Preto, 423","","Guarulhos","SP","","","-23.4038737","-46.4430616","Avaliação 5,0(7)","24/03/2026","Importação PDF"
"Igreja Evangélica Pentecostal Fontes De Vida Eterna","Instituição religiosa","","R. Pedro Hermes Seabra, 157","village","Guarulhos","SP","","","-23.410374","-46.4490292","","24/03/2026","Importação PDF"
"Igreja Evangelica Assembl. de Deus - Ministerio Jardim Jade","Igreja Evangelica Assembl. de Deus","","R. Belém, 52","Jardim Jade","Guarulhos","SP","","","-23.41362","-46.4497267","Ministerio Jardim Jade","24/03/2026","Importação PDF"
"Igreja assembléia de Deus Ministério Adja São João","Igreja gospel Assembleia de Deus","","R. Niterói, 120","São João","Guarulhos","SP","","","-23.4049429","-46.4428034","Ministério Adja São João","24/03/2026","Importação PDF"
